id,name_primary,name_alt1,name_alt2,name_alt3,group,country,river_area,district_resort,lat,lng,coord_confidence,notes,source,mz_clinic
133,Bekiokonde,,,,Ndyuka,Suriname,Suriname River reservoir (Sarakreek),Sarakreek,5.052,-55.018,low,Ndyuka transmigration village; Sarakreek resort,Planbureau Suriname Table 3 Brokopondo 2013,no
134,Duwatra,,,,Ndyuka,Suriname,Suriname River reservoir (Sarakreek),Sarakreek,5.038,-55.032,low,Ndyuka transmigration village; MZ poli confirmed; patient base ~660,Planbureau Suriname Table 3 Brokopondo 2013,yes
135,Pisjan,,,,Ndyuka,Suriname,Suriname River reservoir (Sarakreek),Sarakreek,5.055,-55.015,low,Ndyuka transmigration village; Sarakreek resort,Planbureau Suriname Table 3 Brokopondo 2013,no
136,Afobaka,,,,Saramaka / Ndyuka,Suriname,Suriname River (Afobaka Dam),Brownsweg,4.993,-55.094,high,Town at Afobaka Dam; MZ health centre; gateway to Brokopondo Reservoir,Planbureau Suriname Table 4 Brokopondo 2013 / MZ list,yes
137,Victoria,,,,Ndyuka / Saramaka,Suriname,Suriname River reservoir area,Victoria,5.02,-55.100,low,Interior village with school; Victoria resort Brokopondo District; MZ clinic confirmed; patient base ~471,Planbureau Suriname Table 4 Brokopondo 2013 / MZ list,yes
138,Nieuw Ganze,Nieuw Ganzee,,,Saramaka,Suriname,Lower Suriname River / reservoir,Brownsweg,5.008,-55.176,medium,Post-dam Saramaka resettlement village near Brownsweg; large EBG school,Planbureau Suriname Table 4 Brokopondo 2013,no
139,Abetwakondre,,,,Ndyuka,Suriname,Tapanahoni River,Tapanahony,3.91667,-54.8000,low,Ndyuka village; Tapanahony resort; Planbureau 2013,Planbureau Suriname Table 3.1 Sipaliwini 2013,no
140,Acote,,,,Ndyuka,Suriname,Tapanahoni River,Tapanahony,,,low,Ndyuka village; Tapanahony resort; Planbureau 2013,Planbureau Suriname Table 3.1 Sipaliwini 2013,no
141,Ajokajokampu,,,,Ndyuka,Suriname,Tapanahoni River,Tapanahony,,,low,Ndyuka village; Tapanahony resort; Planbureau 2013,Planbureau Suriname Table 3.1 Sipaliwini 2013,no
142,Aneewakondre,,,,Ndyuka,Suriname,Tapanahoni River,Tapanahony,,,low,Ndyuka village; Tapanahony resort; Planbureau 2013,Planbureau Suriname Table 3.1 Sipaliwini 2013,no
143,Apukakondre,,,,Ndyuka,Suriname,Tapanahoni River,Tapanahony,,,low,Ndyuka village; Tapanahony resort; Planbureau 2013,Planbureau Suriname Table 3.1 Sipaliwini 2013,no
144,Apumatapu,,,,Ndyuka,Suriname,Tapanahoni River,Tapanahony,,,low,Ndyuka village; Tapanahony resort; health post: HP,Planbureau Suriname Table 3.1 Sipaliwini 2013,yes
145,Asidonkondre,,,,Ndyuka,Suriname,Tapanahoni River,Tapanahony,,,low,Ndyuka village; Tapanahony resort; Planbureau 2013,Planbureau Suriname Table 3.1 Sipaliwini 2013,no
146,Atipakondre,,,,Ndyuka,Suriname,Tapanahoni River,Tapanahony,,,low,Ndyuka village; Tapanahony resort; Planbureau 2013,Planbureau Suriname Table 3.1 Sipaliwini 2013,no
147,Benanu,,,,Ndyuka,Suriname,Tapanahoni River,Tapanahony,,,low,Ndyuka village; Tapanahony resort; Planbureau 2013,Planbureau Suriname Table 3.1 Sipaliwini 2013,no
148,Benzdorp,,,,Ndyuka,Suriname,Tapanahoni River,Tapanahony,,,low,Ndyuka village; Tapanahony resort; airstrip: Benzdorp (regular scheduled),Planbureau Suriname Table 3.1 Sipaliwini 2013,no
149,Biakronie,,,,Ndyuka,Suriname,Tapanahoni River,Tapanahony,,,low,Ndyuka village; Tapanahony resort; Planbureau 2013,Planbureau Suriname Table 3.1 Sipaliwini 2013,no
150,Dablasiekondre,,,,Ndyuka,Suriname,Tapanahoni River,Tapanahony,,,low,Ndyuka village; Tapanahony resort; Planbureau 2013,Planbureau Suriname Table 3.1 Sipaliwini 2013,no
151,Daguhede,,,,Ndyuka,Suriname,Tapanahoni River,Tapanahony,,,low,Ndyuka village; Tapanahony resort; Planbureau 2013,Planbureau Suriname Table 3.1 Sipaliwini 2013,no
152,Dakonde,,,,Ndyuka,Suriname,Tapanahoni River,Tapanahony,,,low,Ndyuka village; Tapanahony resort; Planbureau 2013,Planbureau Suriname Table 3.1 Sipaliwini 2013,no
153,Godoholo,Godo Holo,,,Ndyuka,Suriname,Tapanahoni River,Tapanahony,4.060556,-54.787500,high,Ndyuka village; health post: HP; school: EBGS Godoholo; electricity,Planbureau Suriname Table 3.1 Sipaliwini 2013,yes
154,Gostu,,,,Ndyuka,Suriname,Tapanahoni River,Tapanahony,,,low,Ndyuka village; Tapanahony resort; church: JG,Planbureau Suriname Table 3.1 Sipaliwini 2013,no
155,Granbori,,,,Ndyuka,Suriname,Tapanahoni River,Tapanahony,,,low,Ndyuka village; Tapanahony resort; Planbureau 2013,Planbureau Suriname Table 3.1 Sipaliwini 2013,no
156,Gransanti,,,,Ndyuka,Suriname,Tapanahoni River,Tapanahony,,,low,Ndyuka village; Tapanahony resort; Planbureau 2013,Planbureau Suriname Table 3.1 Sipaliwini 2013,no
157,Jawsa,,,,Ndyuka,Suriname,Tapanahoni River,Tapanahony,,,low,Ndyuka village; Tapanahony resort; electricity,Planbureau Suriname Table 3.1 Sipaliwini 2013,no
158,Kaminatabiki,,,,Ndyuka,Suriname,Tapanahoni River,Tapanahony,,,low,Ndyuka village; Tapanahony resort; Planbureau 2013,Planbureau Suriname Table 3.1 Sipaliwini 2013,no
159,Kisai,,,,Ndyuka,Suriname,Tapanahoni River,Tapanahony,,,low,Ndyuka village; Tapanahony resort; electricity,Planbureau Suriname Table 3.1 Sipaliwini 2013,no
160,Klementi,,,,Ndyuka,Suriname,Tapanahoni River,Tapanahony,,,low,Ndyuka village; Tapanahony resort; Planbureau 2013,Planbureau Suriname Table 3.1 Sipaliwini 2013,no
161,Kofikamisa,,,,Ndyuka,Suriname,Tapanahoni River,Tapanahony,,,low,Ndyuka village; Tapanahony resort; Planbureau 2013,Planbureau Suriname Table 3.1 Sipaliwini 2013,no
162,Loabi,,,,Ndyuka,Suriname,Tapanahoni River,Tapanahony,,,low,Ndyuka village; Tapanahony resort; Planbureau 2013,Planbureau Suriname Table 3.1 Sipaliwini 2013,no
163,Lobotu,,,,Ndyuka,Suriname,Tapanahoni River,Tapanahony,,,low,Ndyuka village; Tapanahony resort; Planbureau 2013,Planbureau Suriname Table 3.1 Sipaliwini 2013,no
164,Malobi,Agaigoni,,,Ndyuka,Suriname,Tapanahoni River,Tapanahony,,,low,Ndyuka village; Tapanahony resort; Planbureau 2013,Planbureau Suriname Table 3.1 Sipaliwini 2013,no
165,Mongoskin,,,,Ndyuka,Suriname,Tapanahoni River,Tapanahony,,,low,Ndyuka village; Tapanahony resort; Planbureau 2013,Planbureau Suriname Table 3.1 Sipaliwini 2013,no
166,Mpusu,,,,Ndyuka,Suriname,Tapanahoni River,Tapanahony,,,low,Ndyuka village; Tapanahony resort; Planbureau 2013,Planbureau Suriname Table 3.1 Sipaliwini 2013,no
167,Niki,,,,Ndyuka,Suriname,Tapanahoni River,Tapanahony,,,low,Ndyuka village; Tapanahony resort; Planbureau 2013,Planbureau Suriname Table 3.1 Sipaliwini 2013,no
168,Njun Fri,,,,Ndyuka,Suriname,Tapanahoni River,Tapanahony,,,low,Ndyuka village; Tapanahony resort; Planbureau 2013,Planbureau Suriname Table 3.1 Sipaliwini 2013,no
169,Pikien kondre,,,,Ndyuka,Suriname,Tapanahoni River,Tapanahony,,,low,Ndyuka village; Tapanahony resort; Planbureau 2013,Planbureau Suriname Table 3.1 Sipaliwini 2013,no
170,Pikien Saniki,,,,Ndyuka,Suriname,Tapanahoni River,Tapanahony,,,low,Ndyuka village; Tapanahony resort; Planbureau 2013,Planbureau Suriname Table 3.1 Sipaliwini 2013,no
171,Pipakondre,,,,Ndyuka,Suriname,Tapanahoni River,Tapanahony,,,low,Ndyuka village; church: GB/VE,Planbureau Suriname Table 3.1 Sipaliwini 2013,no
172,Poketi,,,,Ndyuka,Suriname,Tapanahoni River,Tapanahony,,,low,Ndyuka village; electricity; church: Meth; airstrip: Poketie (irregular charter),Planbureau Suriname Table 3.1 Sipaliwini 2013,no
173,Powi,,,,Ndyuka,Suriname,Tapanahoni River,Tapanahony,,,low,Ndyuka village; Tapanahony resort; Planbureau 2013,Planbureau Suriname Table 3.1 Sipaliwini 2013,no
174,Prodo kaba,,,,Ndyuka,Suriname,Tapanahoni River,Tapanahony,,,low,Ndyuka village; electricity,Planbureau Suriname Table 3.1 Sipaliwini 2013,no
175,Pulugudu,,,,Ndyuka,Suriname,Tapanahoni River,Tapanahony,,,low,Ndyuka village; Tapanahony resort; Planbureau 2013,Planbureau Suriname Table 3.1 Sipaliwini 2013,no
176,Saje,,,,Ndyuka,Suriname,Tapanahoni River,Tapanahony,,,low,Ndyuka village; Tapanahony resort; Planbureau 2013,Planbureau Suriname Table 3.1 Sipaliwini 2013,no
177,Salinkondre,,,,Ndyuka,Suriname,Tapanahoni River,Tapanahony,,,low,Ndyuka village; Tapanahony resort; Planbureau 2013,Planbureau Suriname Table 3.1 Sipaliwini 2013,no
178,Sanbendumi,,,,Ndyuka,Suriname,Tapanahoni River,Tapanahony,,,low,Ndyuka village; Tapanahony resort; Planbureau 2013,Planbureau Suriname Table 3.1 Sipaliwini 2013,no
179,Sangamasusa,Sangamangsoesa,,,Ndyuka,Suriname,Tapanahoni River,Tapanahony,,,low,Ndyuka village; Tapanahony resort; Planbureau 2013,Planbureau Suriname Table 3.1 Sipaliwini 2013,no
180,Sannakampu,,,,Ndyuka,Suriname,Tapanahoni River,Tapanahony,,,low,Ndyuka village; Tapanahony resort; Planbureau 2013,Planbureau Suriname Table 3.1 Sipaliwini 2013,no
181,Tabiki hede,,,,Ndyuka,Suriname,Tapanahoni River,Tapanahony,,,low,Ndyuka village; electricity,Planbureau Suriname Table 3.1 Sipaliwini 2013,no
182,Tapontekampu,,,,Ndyuka,Suriname,Tapanahoni River,Tapanahony,,,low,Ndyuka village; Tapanahony resort; Planbureau 2013,Planbureau Suriname Table 3.1 Sipaliwini 2013,no
183,Tjon-tjon,,,,Ndyuka,Suriname,Tapanahoni River,Tapanahony,,,low,Ndyuka village; health post: HP,Planbureau Suriname Table 3.1 Sipaliwini 2013,yes
184,Vandaki,,,,Ndyuka,Suriname,Tapanahoni River,Tapanahony,,,low,Ndyuka village; Tapanahony resort; Planbureau 2013,Planbureau Suriname Table 3.1 Sipaliwini 2013,no
185,Visiti,,,,Ndyuka,Suriname,Tapanahoni River,Tapanahony,,,low,Ndyuka village; Tapanahony resort; Planbureau 2013,Planbureau Suriname Table 3.1 Sipaliwini 2013,no
186,Wanfinga,,,,Ndyuka,Suriname,Tapanahoni River,Tapanahony,,,low,Ndyuka village; Tapanahony resort; Planbureau 2013,Planbureau Suriname Table 3.1 Sipaliwini 2013,no
187,Abetredjuka,Sebedoekondre,Krikimofo,,Paramaka,Suriname,Marowijne / Lawa River,Pamacca,4.8500,-54.4667,low,Paramaka village; Pamacca resort; Planbureau 2013,Planbureau Suriname Table 3.2 Sipaliwini 2013,no
189,Atemsa,,,,Paramaka,Suriname,Marowijne / Lawa River,Pamacca,,,low,Paramaka village; Pamacca resort; electricity,Planbureau Suriname Table 3.2 Sipaliwini 2013,no
190,Bandatabiki,,,,Paramaka,Suriname,Marowijne / Lawa River,Pamacca,,,low,Paramaka village; Pamacca resort; Planbureau 2013,Planbureau Suriname Table 3.2 Sipaliwini 2013,no
191,Bethel,,,,Paramaka,Suriname,Marowijne / Lawa River,Pamacca,,,low,Paramaka village; church: VE,Planbureau Suriname Table 3.2 Sipaliwini 2013,no
192,Bonidoro,,,,Paramaka,Suriname,Marowijne / Lawa River,Pamacca,,,low,Paramaka village; Pamacca resort; Planbureau 2013,Planbureau Suriname Table 3.2 Sipaliwini 2013,no
193,Dutabikimofo,,,,Paramaka,Suriname,Marowijne / Lawa River,Pamacca,,,low,Paramaka village; Pamacca resort; Planbureau 2013,Planbureau Suriname Table 3.2 Sipaliwini 2013,no
194,Pakiratabiki,,,,Paramaka,Suriname,Marowijne / Lawa River,Pamacca,,,low,Paramaka village; Pamacca resort; Planbureau 2013,Planbureau Suriname Table 3.2 Sipaliwini 2013,no
195,Pikientabiki,,,,Paramaka,Suriname,Marowijne / Lawa River,Pamacca,,,low,Paramaka village; Pamacca resort; Planbureau 2013,Planbureau Suriname Table 3.2 Sipaliwini 2013,no
196,Skintabiki,,,,Paramaka,Suriname,Marowijne / Lawa River,Pamacca,,,low,Paramaka village; electricity,Planbureau Suriname Table 3.2 Sipaliwini 2013,no
197,Njun Aurora,,,,Saramaka,Suriname,Upper Suriname River,Boven Suriname,,,low,Saramaka village; school: EBGS J.Arabie; electricity; piped water,Planbureau Suriname Table 3.3 Sipaliwini 2013,no
198,Njun kondre,,,,Saramaka,Suriname,Upper Suriname River,Boven Suriname,,,low,Saramaka village; electricity,Planbureau Suriname Table 3.3 Sipaliwini 2013,no
199,Palulubasu,,,,Saramaka,Suriname,Upper Suriname River,Boven Suriname,,,low,Saramaka village; electricity,Planbureau Suriname Table 3.3 Sipaliwini 2013,no
200,Pamboko,,,,Saramaka,Suriname,Upper Suriname River,Boven Suriname,,,low,Saramaka village; school: RKBO Ptr.Voorbraak; electricity; piped water; church: RK,Planbureau Suriname Table 3.3 Sipaliwini 2013,no
201,Penpen,,,,Saramaka,Suriname,Upper Suriname River,Boven Suriname,,,low,Saramaka village; Boven Suriname resort; Planbureau 2013,Planbureau Suriname Table 3.3 Sipaliwini 2013,no
202,Solan,,,,Saramaka,Suriname,Upper Suriname River,Boven Suriname,,,low,Saramaka village; Boven Suriname resort; Planbureau 2013,Planbureau Suriname Table 3.3 Sipaliwini 2013,no
203,Stonuku,,,,Saramaka,Suriname,Upper Suriname River,Boven Suriname,,,low,Saramaka village; Boven Suriname resort; Planbureau 2013,Planbureau Suriname Table 3.3 Sipaliwini 2013,no
204,Tjali kondre,,,,Saramaka,Suriname,Upper Suriname River,Boven Suriname,,,low,Saramaka village; electricity; piped water; church: VE,Planbureau Suriname Table 3.3 Sipaliwini 2013,no
205,Baling,,,,Matawai,Suriname,Saramacca River (upper),Boven Saramacca,,,low,Matawai village; Boven Saramacca resort; Planbureau 2013,Planbureau Suriname Table 3.4 Sipaliwini 2013,no
206,Bilawatra,,,,Matawai,Suriname,Saramacca River (upper),Boven Saramacca,,,low,Matawai village; church: RK,Planbureau Suriname Table 3.4 Sipaliwini 2013,no
207,Kwattahede,,,,Matawai,Suriname,Saramacca River (upper),Boven Saramacca,,,low,Matawai village; church: EBG,Planbureau Suriname Table 3.4 Sipaliwini 2013,no
208,Misalibi,,,,Matawai,Suriname,Saramacca River (upper),Boven Saramacca,,,low,Matawai village; Boven Saramacca resort; Planbureau 2013,Planbureau Suriname Table 3.4 Sipaliwini 2013,no
209,Padua,,,,Matawai,Suriname,Saramacca River (upper),Boven Saramacca,,,low,Matawai village; electricity; church: RK,Planbureau Suriname Table 3.4 Sipaliwini 2013,no
210,Pijeti,,,,Matawai,Suriname,Saramacca River (upper),Boven Saramacca,,,low,Matawai village; electricity,Planbureau Suriname Table 3.4 Sipaliwini 2013,no
211,Piniel,,,,Matawai,Suriname,Saramacca River (upper),Boven Saramacca,,,low,Matawai village; Boven Saramacca resort; Planbureau 2013,Planbureau Suriname Table 3.4 Sipaliwini 2013,no
212,Sukibaka,,,,Matawai,Suriname,Saramacca River (upper),Boven Saramacca,,,low,Matawai village; Boven Saramacca resort; Planbureau 2013,Planbureau Suriname Table 3.4 Sipaliwini 2013,no
213,Tevreden,,,,Matawai,Suriname,Saramacca River (upper),Boven Saramacca,,,low,Matawai village; Boven Saramacca resort; Planbureau 2013,Planbureau Suriname Table 3.4 Sipaliwini 2013,no
214,Vertrouwen,,,,Matawai,Suriname,Saramacca River (upper),Boven Saramacca,,,low,Matawai village; Boven Saramacca resort; Planbureau 2013,Planbureau Suriname Table 3.4 Sipaliwini 2013,no
215,Wanhatti,,,,Ndyuka,Suriname,Cottica River,Marowijne — Wanhatti,,,low,Ndyuka resort in Marowijne District — distinct from any Matawai Wanhatti,Planbureau Suriname Table 3.4 Sipaliwini 2013,no
216,Kaimanston,Kaaimanston,,,Kwinti,Suriname,Coppename River,Boven Coppename,5.140,-56.090,medium,Kwinti village; sister village to Witagron,Planbureau Suriname Table 3.4 Sipaliwini 2013,no
217,Boslanti (Matawai),Boslanti,,,Matawai,Suriname,Saramacca River (upper),Boven Saramacca,,,low,Matawai village; school: EBGS Boslanti; electricity; church: EBG — distinct from Saramaka Boslanti,Planbureau Suriname Table 3.4 Sipaliwini 2013,no
218,Benatti moffo,,,,Ndyuka,Suriname,Cottica River,Marowijne — Moengo,,,low,Ndyuka village; Marowijne District; Moengo resort,Planbureau Suriname Table 4 Marowijne 2013,no
219,Krabu olo,,,,Ndyuka,Suriname,Cottica River,Marowijne — Moengo,,,low,Ndyuka village; Marowijne District; Moengo resort,Planbureau Suriname Table 4 Marowijne 2013,no
220,Langa oekoe 1,,,,Ndyuka,Suriname,Cottica River,Marowijne — Moengo,,,low,Ndyuka village; Planbureau lists two settlements; likely opposite banks of same creek,Planbureau Suriname Table 4 Marowijne 2013,no
221,Langa oekoe 2,,,,Ndyuka,Suriname,Cottica River,Marowijne — Moengo,,,low,Ndyuka village; Planbureau lists two settlements; likely opposite banks of same creek,Planbureau Suriname Table 4 Marowijne 2013,no
222,Pelgrimkondre,,,,Ndyuka,Suriname,Cottica River,Marowijne — Moengo,,,low,Ndyuka village; health post: HP; school: Leonard Leitzel (Wesleyaan),Planbureau Suriname Table 4 Marowijne 2013,yes
223,Abadukondre,,,,Ndyuka,Suriname,Cottica River,Marowijne — Moengo,,,low,Ndyuka village; Marowijne District; Moengo resort,Planbureau Suriname Table 4 Marowijne 2013,no
224,Akalekondre,,,,Ndyuka,Suriname,Cottica River,Marowijne — Moengo,,,low,Ndyuka village; Marowijne District; Moengo resort,Planbureau Suriname Table 4 Marowijne 2013,no
225,Akujutukondre,,,,Ndyuka,Suriname,Cottica River,Marowijne — Moengo,,,low,Ndyuka village; Marowijne District; Moengo resort,Planbureau Suriname Table 4 Marowijne 2013,no
226,Pikien Santi,Pikin Santi,,,Ndyuka,Suriname,Cottica River,Marowijne — Moengo,5.785,-54.371,high,Ndyuka village on Cottica River; attacked by Suriname National Army during Interior War,Wikipedia (Pikin Santi),no
227,Adjuma kondre,,,,Ndyuka,Suriname,Cottica River,Marowijne — Moengo Tapoe,,,low,Ndyuka village; Marowijne District; Moengo Tapoe resort,Planbureau Suriname Table 4 Marowijne 2013,no
228,Ricanau mofo,,,,Ndyuka,Suriname,Cottica River,Marowijne — Moengo Tapoe,,,low,Ndyuka village; health post: HP; Mapcarta confirms 7km north of Moengo on Cottica River,Planbureau Suriname Table 4 Marowijne 2013,yes
229,Tukopi,,,,Ndyuka,Suriname,Cottica River,Marowijne — Moengo Tapoe,,,low,Ndyuka village; Marowijne District; Moengo Tapoe resort,Planbureau Suriname Table 4 Marowijne 2013,no
230,Lanti we,Lantiwei,,,Ndyuka,Suriname,Cottica River,Marowijne — Wanhatti,5.79000,-54.41222,high,Ndyuka village on Cottica River; opposite Pinatjaimi; founded Pinatjaimi from here,Planbureau Suriname Table 4 Marowijne 2013,no
231,Pina tjari mi,Pinatjaimi,Pinatyaimi,,Ndyuka,Suriname,Cottica River,Marowijne — Wanhatti,,,low,Ndyuka village on Cottica River; opposite village is Lantiwei,Planbureau Suriname Table 4 Marowijne 2013,no
232,Tamarin,,,,Ndyuka,Suriname,Cottica River,Marowijne — Wanhatti,,,low,Ndyuka village; school: Wanati (EBGS); electricity: DEV; water: DWV,Planbureau Suriname Table 4 Marowijne 2013,no
233,Akoloikondre,,,,Ndyuka,Suriname,Marowijne River,Marowijne — Albina,,,low,Ndyuka village; Marowijne District; Albina resort,Planbureau Suriname Table 4 Marowijne 2013,no
234,Konikaikondre,,,,Ndyuka,Suriname,Marowijne River,Marowijne — Albina,,,low,Ndyuka village; electricity: EBS; water: SWM,Planbureau Suriname Table 4 Marowijne 2013,no
235,Manjabonkondre,,,,Ndyuka,Suriname,Marowijne River,Marowijne — Albina,,,low,Ndyuka village; Marowijne District; Albina resort,Planbureau Suriname Table 4 Marowijne 2013,no
236,Malokokondre,,,,Ndyuka,Suriname,Marowijne River,Marowijne — Albina,,,low,Ndyuka village; electricity: DEV*,Planbureau Suriname Table 4 Marowijne 2013,no
237,Bigi Ston,,,,Ndyuka,Suriname,Marowijne River,Marowijne — Albina,5.415000,-54.126389,medium,Ndyuka village; Marowijne District; Albina resort; mixed Ndyuka and Kalina settlement; health post: HP; school: Bigi Ston (OS); electricity: DEV,Planbureau Suriname Table 4 Marowijne 2013,yes
238,Piere kondre,,,,Ndyuka,Suriname,Marowijne River,Marowijne — Albina,,,low,Ndyuka village; Marowijne District; Albina resort,Planbureau Suriname Table 4 Marowijne 2013,no
239,Poitekondre,,,,Ndyuka,Suriname,Patamacca Creek / Marowijne,Marowijne — Patamacca,,,low,Ndyuka village; Marowijne District; Patamacca resort,Planbureau Suriname Table 4 Marowijne 2013,no
240,Abeso Kampu,,,,Ndyuka,Suriname,Patamacca Creek / Marowijne,Marowijne — Patamacca,,,low,Ndyuka village; electricity: PART,Planbureau Suriname Table 4 Marowijne 2013,no
241,Ageni-Dolin Kampu,,,,Ndyuka,Suriname,Patamacca Creek / Marowijne,Marowijne — Patamacca,,,low,Ndyuka village; Marowijne District; Patamacca resort,Planbureau Suriname Table 4 Marowijne 2013,no
242,Pakosi Kampu,,,,Ndyuka,Suriname,Patamacca Creek / Marowijne,Marowijne — Patamacca,,,low,Ndyuka village; Marowijne District; Patamacca resort,Planbureau Suriname Table 4 Marowijne 2013,no
243,Saliga Kampu,,,,Ndyuka,Suriname,Patamacca Creek / Marowijne,Marowijne — Patamacca,,,low,Ndyuka village; Marowijne District; Patamacca resort,Planbureau Suriname Table 4 Marowijne 2013,no
244,Bastionkondre,,,,Ndyuka,Suriname,Patamacca Creek / Marowijne,Marowijne — Patamacca,,,low,Ndyuka village; Marowijne District; Patamacca resort,Planbureau Suriname Table 4 Marowijne 2013,no
245,Pai kampu,ApaiKampu,,,Ndyuka,Suriname,Patamacca Creek / Marowijne,Marowijne — Patamacca,,,low,Ndyuka village; Marowijne District; Patamacca resort,Planbureau Suriname Table 4 Marowijne 2013,no
246,Lemkibontabiki,,,,Ndyuka,Suriname,Patamacca Creek / Marowijne,Marowijne — Patamacca,,,low,Ndyuka village; Marowijne District; Patamacca resort,Planbureau Suriname Table 4 Marowijne 2013,no
247,Maria kondre,,,,Ndyuka,Suriname,Patamacca Creek / Marowijne,Marowijne — Patamacca,,,low,Ndyuka village; Marowijne District; Patamacca resort,Planbureau Suriname Table 4 Marowijne 2013,no
248,Mopi kondre,,,,Ndyuka,Suriname,Patamacca Creek / Marowijne,Marowijne — Patamacca,,,low,Ndyuka village; health post: HP; school: Mopikondre (OS),Planbureau Suriname Table 4 Marowijne 2013,yes
249,Pakirakondre,,,,Ndyuka,Suriname,Patamacca Creek / Marowijne,Marowijne — Patamacca,,,low,Ndyuka village; health post: HP; school: Pakirakondre (OS); electricity: DEV; water: DWV,Planbureau Suriname Table 4 Marowijne 2013,yes
250,Sooke Kampu,,,,Ndyuka,Suriname,Patamacca Creek / Marowijne,Marowijne — Patamacca,,,low,Ndyuka village; Marowijne District; Patamacca resort,Planbureau Suriname Table 4 Marowijne 2013,no
251,Telegi Kampu,,,,Ndyuka,Suriname,Patamacca Creek / Marowijne,Marowijne — Patamacca,,,low,Ndyuka village; Marowijne District; Patamacca resort,Planbureau Suriname Table 4 Marowijne 2013,no
252,Abenekondre,,,,Ndyuka,Suriname,Patamacca Creek / Marowijne,Marowijne — Patamacca,,,low,Ndyuka village; Marowijne District; Patamacca resort,Planbureau Suriname Table 4 Marowijne 2013,no
253,Dan Tapu,,,,Ndyuka,Suriname,Patamacca Creek / Marowijne,Marowijne — Patamacca,,,low,Ndyuka village; electricity: DEV*,Planbureau Suriname Table 4 Marowijne 2013,no
254,Kasaba olo,,,,Ndyuka,Suriname,Patamacca Creek / Marowijne,Marowijne — Patamacca,,,low,Ndyuka village; Marowijne District; Patamacca resort,Planbureau Suriname Table 4 Marowijne 2013,no
255,Me de nanga Lanti,,,,Ndyuka,Suriname,Patamacca Creek / Marowijne,Marowijne — Patamacca,,,low,Ndyuka village; Marowijne District; Patamacca resort,Planbureau Suriname Table 4 Marowijne 2013,no
256,Ofia olo,,,,Ndyuka,Suriname,Patamacca Creek / Marowijne,Marowijne — Patamacca,,,low,Ndyuka village; electricity: DEV,Planbureau Suriname Table 4 Marowijne 2013,no
257,Patamacca,,,,Ndyuka,Suriname,Patamacca Creek / Marowijne,Marowijne — Patamacca,,,low,Ndyuka village; school: Patamacca (OS); electricity: MIJ; water: MIJ,Planbureau Suriname Table 4 Marowijne 2013,no
258,Bethel (Matawai),Bethel,,,Matawai,Suriname,Saramacca River (upper),Boven Saramacca,,,low,Matawai village; church: RK — distinct from Bethel (Paramaka),Planbureau Suriname Table 3.4 Sipaliwini 2013,no
259,Sebedoe Kondre,,,,Paramaka,Suriname,Marowijne River,Pamacca,5.15,-54.30,low,Paramaka village near Marowijne; coordinates approximate,Vetted CSV review 2026,no
260,Drietabbetje Airstrip,,,,Ndyuka,Suriname,Tapanahoni River,Tapanahony,4.117,-54.667,high,Airstrip serving Drietabbetje/Diitabiki (Ndyuka granman seat); regular scheduled service,Vetted CSV review 2026 / Wikipedia (Dritabiki),no
319,Saint-Jean-du-Maroni,Saint-Jean,,,Ndyuka,French Guiana,Maroni River (lower),Saint-Laurent-du-Maroni commune,5.40556,-54.07778,high,Village mainly inhabited by Ndyuka Maroons; on Maroni River near Saint-Laurent-du-Maroni,Grok / Wikipedia,no
